iter	Logloss
0	0.6858910281
1	0.6788885487
2	0.6719660477
3	0.6652768986
4	0.6589841113
5	0.6528645124
6	0.6466109217
7	0.640727886
8	0.6350217997
9	0.6294466833
10	0.6239192844
11	0.618193429
12	0.6129684033
13	0.6075156749
14	0.602405512
15	0.5975668313
16	0.5927980738
17	0.5877662631
18	0.5831677927
19	0.5787599964
20	0.5743701486
21	0.5699474357
22	0.5656113879
23	0.561384047
24	0.5572651773
25	0.5533823757
26	0.549654314
27	0.5458598645
28	0.542157536
29	0.5386847595
30	0.5350441886
31	0.5313634017
32	0.5281313399
33	0.5247818101
34	0.5216992997
35	0.5186132062
36	0.5152943284
37	0.5124248158
38	0.5093874489
39	0.5062549799
40	0.5035839214
41	0.500850473
42	0.4980481055
43	0.4955615305
44	0.4931062225
45	0.4907328742
46	0.488414037
47	0.4861469089
48	0.4835769268
49	0.4814171068
50	0.4791764208
51	0.4769969215
52	0.4748904797
53	0.4725019987
54	0.4704834911
55	0.4684176364
56	0.4664188957
57	0.4645997511
58	0.462785926
59	0.4610818923
60	0.4592255954
61	0.4574897462
62	0.455846509
63	0.4541895473
64	0.4523872707
65	0.4507136117
66	0.4491388179
67	0.4476250381
68	0.4461394662
69	0.4445093742
70	0.4431960513
71	0.4419123855
72	0.4405140158
73	0.4391906902
74	0.4378801815
75	0.4366441116
76	0.4353397545
77	0.4340993515
78	0.4328914952
79	0.4315647152
80	0.4303106822
81	0.4291855339
82	0.4281942444
83	0.4270971749
84	0.4261060503
85	0.424981249
86	0.4239127961
87	0.4229209901
88	0.4220591264
89	0.4209428855
90	0.4199036494
91	0.4189846159
92	0.4180016153
93	0.4170470484
94	0.4162591648
95	0.4153262047
96	0.4144482992
97	0.4135534184
98	0.4128012831
99	0.4119714735
100	0.4112337402
101	0.4104526077
102	0.4095929546
103	0.4087845211
104	0.4081003224
105	0.407368055
106	0.4068037583
107	0.4060578182
108	0.4053859849
109	0.4047894326
110	0.4040376252
111	0.4035352956
112	0.4029882101
113	0.4024454586
114	0.401783958
115	0.4011500192
116	0.400635105
117	0.400133557
118	0.3996472267
119	0.3992287611
120	0.3988193735
121	0.398186102
122	0.3976183999
123	0.3970986663
124	0.3965738957
125	0.3961027073
126	0.3956118609
127	0.3950576991
128	0.3945757838
129	0.39412282
130	0.3936337437
131	0.3932595298
132	0.3929214273
133	0.3925271217
134	0.3920543669
135	0.391636226
136	0.3912900843
137	0.3909544425
138	0.390628967
139	0.3902368758
140	0.3898799135
141	0.3894794175
142	0.389085991
143	0.3888049712
144	0.3884644419
145	0.3882344864
146	0.3879528556
147	0.3876916702
148	0.3873577192
149	0.3870710905
150	0.3867091323
151	0.3864863076
152	0.386248148
153	0.3859419632
154	0.3856679453
155	0.3854843514
156	0.3852004166
157	0.3850248158
158	0.3847253126
159	0.3844882622
160	0.3842562257
161	0.383932106
162	0.3837438458
163	0.3835904857
164	0.3833271088
165	0.3830418153
166	0.3827409064
167	0.3825535686
168	0.3823135153
169	0.3821518942
170	0.3819429562
171	0.3816695972
172	0.3814671641
173	0.3812361763
174	0.3809847886
175	0.3808633783
176	0.3806254884
177	0.3804865774
178	0.3803102237
179	0.3801678578
180	0.3799465611
181	0.3797444444
182	0.3795468247
183	0.3793870876
184	0.3792551815
185	0.3791617581
186	0.3789643999
187	0.3788482104
